ViralActivityLevel,Deaths0,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8
16.86,11677,15125,19078,21335,20966,18756,15317,11566,8290
23.6,15125,19078,21335,20966,18756,15317,11566,8290,6041
23.38,19078,21335,20966,18756,15317,11566,8290,6041,4404
19.46,21335,20966,18756,15317,11566,8290,6041,4404,3126
13.78,20966,18756,15317,11566,8290,6041,4404,3126,2505
9.27,18756,15317,11566,8290,6041,4404,3126,2505,1908
5.93,15317,11566,8290,6041,4404,3126,2505,1908,1552
3.94,11566,8290,6041,4404,3126,2505,1908,1552,1410
2.56,8290,6041,4404,3126,2505,1908,1552,1410,1345
1.74,6041,4404,3126,2505,1908,1552,1410,1345,1426
1.47,4404,3126,2505,1908,1552,1410,1345,1426,1433
1.2,3126,2505,1908,1552,1410,1345,1426,1433,1676
1.26,2505,1908,1552,1410,1345,1426,1433,1676,1742
1.23,1908,1552,1410,1345,1426,1433,1676,1742,1940
1.58,1552,1410,1345,1426,1433,1676,1742,1940,2007
2.1,1410,1345,1426,1433,1676,1742,1940,2007,2139
3.2,1345,1426,1433,1676,1742,1940,2007,2139,2194
3.88,1426,1433,1676,1742,1940,2007,2139,2194,2329
4.93,1433,1676,1742,1940,2007,2139,2194,2329,2420
5.83,1676,1742,1940,2007,2139,2194,2329,2420,2588
6.69,1742,1940,2007,2139,2194,2329,2420,2588,2929
7.18,1940,2007,2139,2194,2329,2420,2588,2929,3226
7.19,2007,2139,2194,2329,2420,2588,2929,3226,3401
6.82,2139,2194,2329,2420,2588,2929,3226,3401,3372
6.65,2194,2329,2420,2588,2929,3226,3401,3372,3284
7.13,2329,2420,2588,2929,3226,3401,3372,3284,3166
7.88,2420,2588,2929,3226,3401,3372,3284,3166,3050
9.28,2588,2929,3226,3401,3372,3284,3166,3050,2926
8.91,2929,3226,3401,3372,3284,3166,3050,2926,2808
9.54,3226,3401,3372,3284,3166,3050,2926,2808,2513
8.86,3401,3372,3284,3166,3050,2926,2808,2513,2546
7.92,3372,3284,3166,3050,2926,2808,2513,2546,2377
7.21,3284,3166,3050,2926,2808,2513,2546,2377,2194
6.77,3166,3050,2926,2808,2513,2546,2377,2194,2147
6.56,3050,2926,2808,2513,2546,2377,2194,2147,2198
5.85,2926,2808,2513,2546,2377,2194,2147,2198,2242
5.54,2808,2513,2546,2377,2194,2147,2198,2242,2248
5.14,2513,2546,2377,2194,2147,2198,2242,2248,2201
4.58,2546,2377,2194,2147,2198,2242,2248,2201,2256
3.68,2377,2194,2147,2198,2242,2248,2201,2256,2497
3.43,2194,2147,2198,2242,2248,2201,2256,2497,2592
3.36,2147,2198,2242,2248,2201,2256,2497,2592,3036
3.43,2198,2242,2248,2201,2256,2497,2592,3036,3187
4.02,2242,2248,2201,2256,2497,2592,3036,3187,3319
4.08,2248,2201,2256,2497,2592,3036,3187,3319,3659
4.17,2201,2256,2497,2592,3036,3187,3319,3659,3870
4.61,2256,2497,2592,3036,3187,3319,3659,3870,3688
5.38,2497,2592,3036,3187,3319,3659,3870,3688,3257
8.59,2592,3036,3187,3319,3659,3870,3688,3257,2914
8.56,3036,3187,3319,3659,3870,3688,3257,2914,2643
